,First_pokemon,Second_pokemon,Winner
15906,Eelektrik,Tranquill,Tranquill
15907,Aerodactyl,Axew,Aerodactyl
15908,Relicanth,Joltik,Joltik
15909,Poochyena,Noivern,Noivern
15910,Mewtwo,Magby,Mewtwo
15911,Whiscash,Igglybuff,Whiscash
15912,Donphan,Unfezant,Unfezant
15913,Flaaffy,Muk,Muk
15914,Binacle,Ralts,Binacle
15915,Spearow,Klinklang,Klinklang
15916,Psyduck,Bisharp,Bisharp
15917,Kricketune,Granbull,Kricketune
15918,Garchomp,Primeape,Garchomp
15919,Cobalion,Tranquill,Cobalion
15920,Hypno,Bidoof,Hypno
15921,Heatran,Gourgeist Large Size,Heatran
15922,Smeargle,Gengar,Gengar
15923,Cloyster,Metapod,Cloyster
15924,Mismagius,Baltoy,Mismagius
15925,Ledyba,Gorebyss,Ledyba
15926,Amaura,Mega Sharpedo,Mega Sharpedo
15927,Nidorina,Regice,Nidorina
15928,Magcargo,Pawniard,Pawniard
15929,Dunsparce,Magnemite,Magnemite
15930,Mega Absol,Kabuto,Mega Absol
15931,Tympole,Mega Gallade,Mega Gallade
15932,Whimsicott,Gardevoir,Whimsicott
15933,Sudowoodo,Mesprit,Mesprit
15934,Diggersby,Musharna,Diggersby
15935,Dustox,Mega Salamence,Mega Salamence
15936,Pinsir,Trevenant,Pinsir
15937,Froakie,Cinccino,Cinccino
15938,Nidoran♂,Staraptor,Staraptor
15939,Eevee,Chikorita,Eevee
15940,Florges,Hoopa Unbound,Hoopa Unbound
15941,Bibarel,Bronzong,Bibarel
15942,Herdier,Avalugg,Herdier
15943,Flareon,Golett,Golett
15944,Mega Charizard X,Alomomola,Mega Charizard X
15945,Wash Rotom,Gorebyss,Wash Rotom
15946,Walrein,Froakie,Froakie
15947,Persian,Shelmet,Persian
15948,Deoxys Attack Form,Musharna,Deoxys Attack Form
15949,Oddish,Pawniard,Pawniard
15950,Mewtwo,Mega Medicham,Mewtwo
15951,Azelf,Zigzagoon,Azelf
15952,Scatterbug,Deoxys Speed Form,Deoxys Speed Form
15953,Zubat,Wurmple,Zubat
15954,Amaura,Aggron,Aggron
15955,Ninjask,Swampert,Ninjask
15956,Ho-oh,Bonsly,Ho-oh
15957,Phione,Celebi,Celebi
15958,Sandslash,Xatu,Xatu
15959,Archeops,Munna,Archeops
15960,Burmy Plant Cloak,Mega Absol,Mega Absol
15961,Graveler,Wailord,Wailord
15962,Diancie,Clamperl,Diancie
15963,Audino,Meloetta Pirouette Form,Meloetta Pirouette Form
15964,Tyranitar,White Kyurem,White Kyurem
15965,Gothitelle,Hydreigon,Hydreigon
15966,Weepinbell,Oddish,Weepinbell
15967,Fletchling,Dwebble,Fletchling
15968,Dustox,Gyarados,Gyarados
15969,Dragonite,White Kyurem,White Kyurem
15970,Lileep,Tornadus Therian Form,Tornadus Therian Form
15971,Zweilous,Klang,Zweilous
15972,Tympole,Meloetta Pirouette Form,Meloetta Pirouette Form
15973,Turtwig,Lampent,Lampent
15974,Spinarak,Dedenne,Dedenne
15975,Chatot,Whimsicott,Whimsicott
15976,Terrakion,Inkay,Terrakion
15977,Surskit,Hoothoot,Surskit
15978,Swablu,Grotle,Swablu
15979,Stunfisk,Blissey,Stunfisk
15980,Nidoking,Vespiquen,Vespiquen
15981,Nidorino,Scolipede,Scolipede
15982,Sentret,Growlithe,Growlithe
15983,Vaporeon,Darumaka,Vaporeon
15984,Sableye,Malamar,Malamar
15985,Corsola,Duskull,Corsola
15986,Latios,Fearow,Latios
15987,Heliolisk,Simisage,Heliolisk
15988,Mega Aggron,Cobalion,Cobalion
15989,Trubbish,Skiddo,Trubbish
15990,Articuno,Mega Sharpedo,Mega Sharpedo
15991,Emboar,Exeggcute,Emboar
15992,Vanilluxe,Axew,Vanilluxe
15993,Diggersby,Quilladin,Diggersby
15994,Beedrill,Krabby,Beedrill
15995,Archen,Beedrill,Beedrill
15996,Gastrodon,Magmar,Magmar
15997,Riolu,Eelektrik,Riolu
15998,Gallade,Vigoroth,Vigoroth
15999,Mega Houndoom,Mega Gallade,Mega Houndoom
16000,Mega Rayquaza,Zapdos,Mega Rayquaza
16001,Fraxure,Darkrai,Darkrai
16002,Roggenrola,Mawile,Mawile
16003,Castform,Mega Gyarados,Mega Gyarados
16004,Mega Tyranitar,Geodude,Mega Tyranitar
16005,Furret,Spearow,Furret
16006,Electabuzz,Pumpkaboo Large Size,Electabuzz
16007,Throh,Porygon-Z,Porygon-Z
16008,Feraligatr,Piloswine,Feraligatr
16009,Horsea,Vaporeon,Vaporeon
16010,Farfetch'd,Corsola,Farfetch'd
16011,Lugia,Cloyster,Lugia
16012,Vulpix,Camerupt,Vulpix
16013,Vullaby,Mantyke,Vullaby
16014,Feraligatr,Yanma,Yanma
16015,Spritzee,Mega Houndoom,Mega Houndoom
16016,Weepinbell,Bidoof,Weepinbell
16017,Pansear,Cranidos,Pansear
16018,Mega Metagross,Barboach,Mega Metagross
16019,Trevenant,Kecleon,Kecleon
16020,Quilladin,Pangoro,Pangoro
16021,Torchic,Grimer,Torchic
16022,Mawile,Pangoro,Pangoro
16023,Omastar,Slowbro,Omastar
16024,Magnemite,White Kyurem,White Kyurem
16025,Dusknoir,Mandibuzz,Mandibuzz
16026,Marill,Noivern,Marill
16027,Carracosta,Skarmory,Carracosta
16028,Feebas,Banette,Banette
16029,Aurorus,Stoutland,Stoutland
16030,Starly,Alakazam,Alakazam
16031,Raichu,Litwick,Raichu
16032,Venipede,Excadrill,Excadrill
16033,Hitmonlee,Scatterbug,Hitmonlee
16034,Nidoking,Mismagius,Mismagius
16035,Drifblim,Lillipup,Lillipup
16036,Piplup,Kricketune,Kricketune
16037,Sawk,Ivysaur,Sawk
16038,Grumpig,Staryu,Staryu
16039,Trevenant,Shroomish,Trevenant
16040,Fennekin,Slakoth,Fennekin
16041,Grovyle,Aerodactyl,Aerodactyl
16042,Dusknoir,Wynaut,Dusknoir
16043,Delibird,Noivern,Noivern
16044,Mega Houndoom,Lumineon,Mega Houndoom
16045,Toxicroak,Skiploom,Toxicroak
16046,Tepig,Garchomp,Garchomp
16047,Luxray,Clauncher,Luxray
16048,Fearow,Growlithe,Fearow
16049,Hoothoot,Seadra,Seadra
16050,Inkay,Luvdisc,Luvdisc
16051,Probopass,Piplup,Piplup
16052,Klefki,Ivysaur,Klefki
16053,Whismur,Venusaur,Venusaur
16054,Tynamo,Nidoran♀,Tynamo
16055,Aipom,Pidgey,Aipom
16056,Mega Lopunny,Staraptor,Mega Lopunny
16057,Pumpkaboo Average Size,Mega Metagross,Mega Metagross
16058,Joltik,Manectric,Manectric
16059,Delcatty,Relicanth,Delcatty
16060,Pansage,Exploud,Exploud
16061,Roggenrola,Vaporeon,Vaporeon
16062,Gothita,Barboach,Barboach
16063,Ekans,Pachirisu,Pachirisu
16064,Weedle,Tyrantrum,Tyrantrum
16065,Nidoqueen,Unfezant,Unfezant
16066,Mega Gengar,Blitzle,Mega Gengar
16067,Basculin White-Striped Form,Duosion,Basculin White-Striped Form
16068,Onix,Bayleef,Onix
16069,Whiscash,Hitmonlee,Hitmonlee
16070,Poliwrath,Manaphy,Manaphy
16071,Togekiss,Gourgeist Super Size,Togekiss
16072,Reuniclus,Horsea,Reuniclus
16073,Palpitoad,Doublade,Palpitoad
16074,Beartic,Magnemite,Beartic
16075,Whismur,Aerodactyl,Aerodactyl
16076,Barboach,Duosion,Barboach
16077,Spearow,Eelektross,Spearow
16078,Budew,Smoochum,Smoochum
16079,Noctowl,Pumpkaboo Average Size,Pumpkaboo Average Size
16080,Misdreavus,Sableye,Sableye
16081,Furfrou,Petilil,Furfrou
16082,Frogadier,Azelf,Azelf
16083,Snorlax,Mienfoo,Mienfoo
16084,Croagunk,Spinarak,Croagunk
16085,Mega Altaria,Vespiquen,Mega Altaria
16086,Heatmor,Prinplup,Heatmor
16087,Venipede,Dustox,Dustox
16088,Pinsir,Froslass,Froslass
16089,Heatmor,Venonat,Heatmor
16090,Girafarig,Drowzee,Girafarig
16091,Geodude,Smoochum,Geodude
16092,Umbreon,Barbaracle,Barbaracle
16093,Krokorok,Absol,Absol
16094,Vanillite,Liepard,Liepard
16095,Quagsire,Charmeleon,Quagsire
16096,Kricketot,Lugia,Lugia
16097,Talonflame,Baltoy,Talonflame
16098,Gourgeist Super Size,Espeon,Espeon
16099,Huntail,Feraligatr,Feraligatr
16100,Haunter,Tympole,Haunter
16101,Ninjask,Avalugg,Avalugg
16102,Frillish,Pineco,Pineco
16103,Butterfree,Shroomish,Butterfree
16104,Pidgey,Thundurus Incarnate Form,Thundurus Incarnate Form
16105,Munna,Giratina Altered Form,Giratina Altered Form
16106,Tranquill,Frogadier,Frogadier
16107,Gulpin,Mega Lopunny,Mega Lopunny
16108,Pidgey,Sewaddle,Pidgey
16109,Lopunny,Kirlia,Lopunny
16110,Tynamo,Snivy,Snivy
16111,Mega Tyranitar,Shedinja,Mega Tyranitar
16112,Hippowdon,Phantump,Hippowdon
16113,Volbeat,Rhyhorn,Volbeat
16114,Chimecho,Bagon,Chimecho
16115,Pidove,Phione,Phione
16116,Exeggcute,Ludicolo,Ludicolo
16117,Dewgong,Hoopa Unbound,Hoopa Unbound
16118,Torkoal,Jigglypuff,Jigglypuff
16119,Mega Ampharos,Chikorita,Chikorita
16120,Heracross,Mega Manectric,Mega Manectric
16121,Xatu,Camerupt,Xatu
16122,Munna,Aron,Aron
16123,Solosis,Manectric,Manectric
16124,Yveltal,Escavalier,Yveltal
16125,Cacnea,Wash Rotom,Wash Rotom
16126,Aromatisse,Helioptile,Aromatisse
16127,Slurpuff,Luxray,Slurpuff
16128,Venonat,Axew,Axew
16129,Grovyle,Cascoon,Grovyle
16130,Cobalion,Mandibuzz,Cobalion
16131,Galvantula,Lugia,Lugia
16132,Fennekin,Smeargle,Smeargle
16133,Furfrou,Electabuzz,Electabuzz
16134,Burmy Plant Cloak,Aegislash Shield Form,Aegislash Shield Form
16135,Charmander,Hawlucha,Hawlucha
16136,Lillipup,Dusclops,Dusclops
16137,Wormadam Sandy Cloak,Mega Lopunny,Mega Lopunny
16138,Clawitzer,Archeops,Archeops
16139,Numel,Leavanny,Leavanny
16140,Chimchar,Deoxys Speed Form,Deoxys Speed Form
16141,Magnezone,Mega Scizor,Mega Scizor
16142,Aegislash Blade Form,Druddigon,Druddigon
16143,Skiploom,Blitzle,Skiploom
16144,Lumineon,Jolteon,Jolteon
16145,Parasect,Bisharp,Bisharp
16146,Beautifly,Taillow,Taillow
16147,Skiddo,Wurmple,Skiddo
16148,Woobat,Tranquill,Woobat
16149,Machamp,Eevee,Eevee
16150,Slowpoke,Ralts,Slowpoke
16151,Kabutops,Flaaffy,Kabutops
16152,Gothitelle,Klinklang,Klinklang
16153,Nincada,Volcarona,Volcarona
16154,Timburr,Inkay,Inkay
16155,Beedrill,Mime Jr.,Beedrill
16156,Slurpuff,Carbink,Slurpuff
16157,Volcarona,Garbodor,Volcarona
16158,Articuno,Mega Camerupt,Articuno
16159,Cherrim,Herdier,Cherrim
16160,Rayquaza,Rhyhorn,Rayquaza
16161,Beedrill,Cradily,Beedrill
16162,Probopass,Ducklett,Ducklett
16163,Crawdaunt,Togepi,Crawdaunt
16164,Mega Houndoom,Victini,Mega Houndoom
16165,Weezing,Braixen,Braixen
16166,Paras,Solrock,Solrock
16167,Metapod,Hitmonlee,Hitmonlee
16168,Yamask,Porygon-Z,Porygon-Z
16169,Milotic,Flareon,Milotic
16170,Tyrogue,Sigilyph,Sigilyph
16171,Bellossom,Gastrodon,Bellossom
16172,Wobbuffet,Forretress,Forretress
16173,Illumise,Skiddo,Illumise
16174,Blitzle,Frillish,Frillish
16175,Mega Gallade,Skiddo,Mega Gallade
16176,Archen,Huntail,Archen
16177,Manaphy,Mega Mewtwo Y,Mega Mewtwo Y
16178,Gastly,Samurott,Gastly
16179,Crobat,Muk,Crobat
16180,Parasect,Blitzle,Blitzle
16181,Houndour,Politoed,Politoed
16182,Makuhita,Sentret,Makuhita
16183,Spinda,Bagon,Spinda
16184,Tornadus Incarnate Form,Quagsire,Tornadus Incarnate Form
16185,Leavanny,Beartic,Leavanny
16186,Poochyena,Swinub,Swinub
16187,Boldore,Piplup,Piplup
16188,Kirlia,Metapod,Kirlia
16189,Darmanitan Zen Mode,Aggron,Darmanitan Zen Mode
16190,Giratina Origin Form,Phanpy,Giratina Origin Form
16191,Gothita,Nidorina,Nidorina
16192,Prinplup,Mienshao,Mienshao
16193,Sandile,Wormadam Plant Cloak,Sandile
16194,Shellder,Infernape,Infernape
16195,Elekid,Swalot,Elekid
16196,Starly,Lillipup,Starly
16197,Bunnelby,Flabébé,Bunnelby
16198,Goldeen,Klefki,Klefki
16199,Finneon,Suicune,Suicune
16200,Teddiursa,Jynx,Jynx
16201,Dwebble,Drapion,Drapion
16202,Mismagius,Garchomp,Mismagius
16203,Jynx,Froakie,Jynx
16204,Fletchinder,Sentret,Fletchinder
16205,Slowbro,Bayleef,Bayleef
16206,Persian,Mega Gallade,Persian
16207,Pelipper,Mega Mewtwo X,Mega Mewtwo X
16208,Electabuzz,Dragalge,Electabuzz
16209,Xatu,Aromatisse,Xatu
16210,Bisharp,Buneary,Buneary
16211,Unown,Volbeat,Volbeat
16212,Smeargle,Barbaracle,Smeargle
16213,Venomoth,Zapdos,Zapdos
16214,Terrakion,Politoed,Terrakion
16215,Cubone,Heliolisk,Cubone
16216,Dialga,Squirtle,Dialga
16217,Mareep,Deoxys Defense Form,Deoxys Defense Form
16218,Fletchinder,Trevenant,Fletchinder
16219,Stantler,Mega Diancie,Mega Diancie
16220,Mega Altaria,Vullaby,Mega Altaria
16221,Marill,Drifblim,Drifblim
16222,Garchomp,Surskit,Garchomp
16223,Giratina Origin Form,Mawile,Mawile
16224,Kricketune,Wash Rotom,Wash Rotom
16225,Nidorina,Giratina Origin Form,Giratina Origin Form
16226,Archeops,Luxray,Archeops
16227,Mega Gardevoir,Oddish,Mega Gardevoir
16228,Cinccino,Swalot,Cinccino
16229,Ledian,Swablu,Ledian
16230,Tirtouga,Squirtle,Squirtle
16231,Poliwhirl,Igglybuff,Poliwhirl
16232,Aerodactyl,Machoke,Aerodactyl
16233,Delcatty,Absol,Absol
16234,Solrock,Doduo,Doduo
16235,Skiddo,Masquerain,Masquerain
16236,Staryu,Glalie,Staryu
16237,Ludicolo,Shelmet,Ludicolo
16238,Venusaur,Combee,Venusaur
16239,Tyrunt,Ampharos,Ampharos
16240,Joltik,Gorebyss,Joltik
16241,Tyrogue,Pumpkaboo Large Size,Pumpkaboo Large Size
16242,Mega Pinsir,Espurr,Mega Pinsir
16243,Litleo,Steelix,Litleo
16244,Mega Tyranitar,Grovyle,Grovyle
16245,Lanturn,Cascoon,Lanturn
16246,Gorebyss,Bisharp,Bisharp
16247,Heat Rotom,Tyrogue,Heat Rotom
16248,Chinchou,Zubat,Chinchou
16249,Beldum,Metagross,Metagross
16250,Rayquaza,Tirtouga,Rayquaza
16251,Mesprit,Burmy Plant Cloak,Mesprit
16252,Meowstic Female,Hypno,Meowstic Female
16253,Landorus Therian Form,Trubbish,Landorus Therian Form
16254,Regirock,Vigoroth,Vigoroth
16255,Oddish,Pignite,Pignite
16256,Spinda,Meloetta Pirouette Form,Meloetta Pirouette Form
16257,Pichu,Zekrom,Zekrom
16258,Nidoran♂,Slowbro,Nidoran♂
16259,Regirock,Mega Rayquaza,Mega Rayquaza
16260,Palpitoad,Minun,Minun
16261,Pelipper,Togetic,Pelipper
16262,Meowstic Male,Smeargle,Meowstic Male
16263,Horsea,Diglett,Diglett
16264,Yamask,Drapion,Drapion
16265,Noivern,Gothorita,Noivern
16266,Sneasel,Victini,Sneasel
16267,Glalie,Klefki,Glalie
16268,Claydol,Lotad,Claydol
16269,Scyther,Gastrodon,Scyther
16270,Espeon,Tauros,Tauros
16271,Sigilyph,Articuno,Sigilyph
16272,Regigigas,Ampharos,Regigigas
16273,Lumineon,Shroomish,Lumineon
16274,Tyrantrum,Volcarona,Volcarona
16275,Mega Gallade,Victini,Mega Gallade
16276,Chatot,Timburr,Chatot
16277,Joltik,Cubone,Joltik
16278,Watchog,Mega Gyarados,Mega Gyarados
16279,Croconaw,Giratina Origin Form,Giratina Origin Form
16280,Rhyhorn,Meganium,Meganium
16281,Arbok,Lopunny,Lopunny
16282,Absol,Gengar,Gengar
16283,White Kyurem,Karrablast,White Kyurem
16284,Lugia,Cacnea,Lugia
16285,Spewpa,Krookodile,Krookodile
16286,Elekid,Eevee,Elekid
16287,Gligar,Hydreigon,Hydreigon
16288,Aurorus,Hippopotas,Aurorus
16289,Infernape,Weavile,Weavile
16290,Combusken,Charmander,Charmander
16291,Marill,Mega Latios,Mega Latios
16292,Klang,Pelipper,Pelipper
16293,Nincada,Pawniard,Pawniard
16294,Bidoof,Beautifly,Beautifly
16295,Camerupt,Onix,Onix
16296,Dragalge,Ducklett,Ducklett
16297,Cryogonal,Hitmontop,Cryogonal
16298,Remoraid,Vespiquen,Remoraid
16299,Musharna,Registeel,Registeel
16300,Mienshao,Victini,Mienshao
16301,Porygon-Z,Makuhita,Porygon-Z
16302,Hypno,Snorunt,Hypno
16303,Electrode,Lugia,Electrode
16304,Corphish,Pyroar,Pyroar
16305,Scizor,Muk,Scizor
16306,Cinccino,Abra,Cinccino
16307,Chingling,Landorus Incarnate Form,Landorus Incarnate Form
16308,Gengar,Genesect,Genesect
16309,Tangela,Scyther,Scyther
16310,Anorith,Torchic,Anorith
16311,Ledian,Ivysaur,Ledian
16312,Dunsparce,Aggron,Aggron
16313,Larvesta,Togekiss,Togekiss
16314,Klink,Phantump,Phantump
16315,Escavalier,Thundurus Incarnate Form,Escavalier
16316,Bouffalant,Lunatone,Lunatone
16317,Mawile,Dratini,Dratini
16318,Porygon,Oshawott,Oshawott
16319,Yveltal,Spinda,Yveltal
16320,Meloetta Aria Form,Skarmory,Meloetta Aria Form
16321,Rotom,Donphan,Donphan
16322,Munchlax,Cascoon,Munchlax
16323,Mega Blastoise,Glaceon,Mega Blastoise
16324,Mankey,Sliggoo,Mankey
16325,Diancie,Meloetta Pirouette Form,Meloetta Pirouette Form
16326,Skorupi,Shroomish,Skorupi
16327,Samurott,Monferno,Monferno
16328,Reuniclus,Paras,Reuniclus
16329,Nidorino,Drifloon,Drifloon
16330,Dialga,Gligar,Dialga
16331,Darmanitan Zen Mode,Pidove,Darmanitan Zen Mode
16332,Arbok,Ledyba,Arbok
16333,Lopunny,Chespin,Lopunny
16334,Abomasnow,Heliolisk,Heliolisk
16335,Dewott,Bisharp,Bisharp
16336,Vaporeon,Deoxys Defense Form,Deoxys Defense Form
16337,Mega Absol,Dragonite,Mega Absol
16338,Gabite,Teddiursa,Gabite
16339,Regice,Fraxure,Fraxure
16340,Snubbull,Sudowoodo,Sudowoodo
16341,Purugly,Drapion,Purugly
16342,Spearow,Fraxure,Spearow
16343,Larvitar,Black Kyurem,Black Kyurem
16344,Grotle,Kingler,Kingler
16345,Scraggy,Sneasel,Sneasel
16346,Exploud,Talonflame,Talonflame
16347,Mega Lucario,Seviper,Mega Lucario
16348,Minun,Terrakion,Terrakion
16349,Vanilluxe,Frillish,Frillish
16350,Pachirisu,Torterra,Torterra
16351,Krabby,Rayquaza,Rayquaza
16352,Horsea,Fletchinder,Fletchinder
16353,Shaymin Sky Form,Elekid,Shaymin Sky Form
16354,Mega Houndoom,Terrakion,Mega Houndoom
16355,Klefki,Snubbull,Klefki
16356,Delcatty,Shaymin Land Form,Shaymin Land Form
16357,Zweilous,Escavalier,Escavalier
16358,Pansear,Baltoy,Pansear
16359,Pansear,Braixen,Braixen
16360,Rhyperior,Snover,Snover
16361,Roggenrola,Mega Rayquaza,Mega Rayquaza
16362,Heatran,Genesect,Genesect
16363,Scizor,Lileep,Scizor
16364,Bagon,Mega Charizard X,Mega Charizard X
16365,Gurdurr,Mega Lucario,Mega Lucario
16366,Victini,Kadabra,Kadabra
16367,Buizel,Mega Gengar,Mega Gengar
16368,Skorupi,Nuzleaf,Skorupi
16369,Chimecho,Pupitar,Chimecho
16370,Mega Aggron,Primeape,Primeape
16371,Mega Gardevoir,Dodrio,Dodrio
16372,Palpitoad,Arbok,Arbok
16373,Dusknoir,Pupitar,Pupitar
16374,Krabby,Cacnea,Krabby
16375,Wash Rotom,Mega Salamence,Mega Salamence
16376,Clauncher,Mega Charizard Y,Mega Charizard Y
16377,Samurott,Gliscor,Gliscor
16378,Metapod,Hippopotas,Hippopotas
16379,Bronzong,Wooper,Bronzong
16380,Hitmonlee,Cascoon,Hitmonlee
16381,Mega Audino,Latias,Latias
16382,Leafeon,Krokorok,Leafeon
16383,Cascoon,Shroomish,Shroomish
16384,Giratina Origin Form,Plusle,Plusle
16385,Simipour,Dedenne,Dedenne
16386,Mega Ampharos,Houndour,Houndour
16387,Grimer,Cresselia,Cresselia
16388,Scyther,Hoopa Unbound,Scyther
16389,Dodrio,Graveler,Dodrio
16390,Pidgeotto,Bonsly,Bonsly
16391,Taillow,Squirtle,Taillow
16392,Ducklett,Delibird,Delibird
16393,Empoleon,Finneon,Finneon
16394,Shuckle,Cresselia,Cresselia
16395,Regice,Altaria,Altaria
16396,Furret,Meowth,Meowth
16397,Duskull,Shellos,Shellos
16398,Bouffalant,Tauros,Tauros
16399,Dusknoir,Giratina Altered Form,Giratina Altered Form
16400,Swirlix,Croagunk,Croagunk
16401,Gabite,Floette,Floette
16402,Vigoroth,Monferno,Vigoroth
16403,Diggersby,Gallade,Gallade
16404,Aegislash Shield Form,Stoutland,Stoutland
16405,Malamar,Psyduck,Malamar
16406,Scyther,Hippopotas,Scyther
16407,Lumineon,Tyrogue,Lumineon
16408,Swampert,Swalot,Swampert
16409,Gabite,Mega Tyranitar,Gabite
16410,Lombre,Helioptile,Helioptile
16411,Hippowdon,Goldeen,Goldeen
16412,Mega Houndoom,Phanpy,Mega Houndoom
16413,Bayleef,Seedot,Bayleef
16414,Drapion,Jirachi,Jirachi
16415,Panpour,Quilava,Quilava
16416,Fan Rotom,Mega Aerodactyl,Mega Aerodactyl
16417,Swinub,Mega Charizard Y,Mega Charizard Y
16418,Audino,Sunkern,Audino
16419,Clawitzer,Regirock,Clawitzer
16420,Crawdaunt,Manaphy,Manaphy
16421,Groudon,Rhydon,Groudon
16422,Amoonguss,Nidorina,Nidorina
16423,Honedge,Bidoof,Bidoof
16424,Barbaracle,Zekrom,Zekrom
16425,Marowak,Breloom,Breloom
16426,Nidoran♀,Krookodile,Krookodile
16427,Feebas,Chatot,Chatot
16428,Latios,Mankey,Latios
16429,Grovyle,Pichu,Grovyle
16430,Gothorita,Pelipper,Pelipper
16431,Cherubi,Pawniard,Pawniard
16432,Mime Jr.,Froakie,Froakie
16433,Eevee,Wailord,Wailord
16434,Donphan,Clamperl,Donphan
16435,Eelektrik,Togetic,Togetic
16436,Lotad,Espurr,Espurr
16437,Seel,Spinarak,Seel
16438,Shroomish,Golduck,Golduck
16439,Carnivine,Cloyster,Cloyster
16440,Absol,Oshawott,Absol
16441,Koffing,Golett,Golett
16442,Meloetta Aria Form,Crustle,Meloetta Aria Form
16443,Remoraid,Stunky,Stunky
16444,Banette,Seadra,Seadra
16445,Snover,Pumpkaboo Super Size,Pumpkaboo Super Size
16446,Mega Lucario,Glameow,Mega Lucario
16447,Magmar,Slugma,Magmar
16448,Goldeen,Mega Latios,Mega Latios
16449,Klefki,Croagunk,Klefki
16450,Azumarill,Golbat,Golbat
16451,Torterra,Kirlia,Torterra
16452,Poliwhirl,Nuzleaf,Poliwhirl
16453,Lucario,Petilil,Lucario
16454,Pelipper,Typhlosion,Typhlosion
16455,Starly,Geodude,Starly
16456,Treecko,Heracross,Heracross
16457,Wormadam Sandy Cloak,Thundurus Therian Form,Thundurus Therian Form
16458,Eevee,Landorus Therian Form,Landorus Therian Form
16459,Squirtle,Clefairy,Squirtle
16460,Froslass,Kangaskhan,Kangaskhan
16461,Kricketot,Wormadam Plant Cloak,Wormadam Plant Cloak
16462,Jynx,Magby,Jynx
16463,Rhydon,Togetic,Togetic
16464,Prinplup,Zubat,Zubat
16465,Lilligant,Kyurem,Kyurem
16466,Spheal,Pignite,Pignite
16467,Skorupi,Clawitzer,Skorupi
16468,Lampent,Nidorina,Nidorina
16469,Magikarp,Machoke,Machoke
16470,Mandibuzz,Lillipup,Mandibuzz
16471,Deoxys Attack Form,Bunnelby,Deoxys Attack Form
16472,Litwick,Seadra,Seadra
16473,Palkia,Houndoom,Palkia
16474,Bagon,Mega Gengar,Mega Gengar
16475,Gligar,Mareep,Gligar
16476,Cranidos,Lugia,Lugia
16477,Swinub,Hitmontop,Hitmontop
16478,Tornadus Therian Form,Duskull,Tornadus Therian Form
16479,Gliscor,Walrein,Gliscor
16480,Drilbur,Metang,Drilbur
16481,Krabby,Pyroar,Pyroar
16482,Dustox,Bayleef,Dustox
16483,Skiddo,Natu,Natu
16484,Aurorus,Yveltal,Yveltal
16485,Rufflet,Bibarel,Bibarel
16486,Marowak,Bastiodon,Marowak
16487,Mime Jr.,Torchic,Mime Jr.
16488,Swampert,Tangrowth,Swampert
16489,Seviper,Lapras,Seviper
16490,Fan Rotom,Spheal,Fan Rotom
16491,Mega Gengar,Victini,Mega Gengar
16492,Shaymin Sky Form,Dewott,Shaymin Sky Form
16493,Dunsparce,Wartortle,Wartortle
16494,Ninetales,Swalot,Ninetales
16495,Fletchling,Munna,Fletchling
16496,Cubchoo,Pidgey,Pidgey
16497,Leafeon,Onix,Leafeon
16498,Numel,Alomomola,Alomomola
16499,Bagon,Shedinja,Shedinja
16500,Mega Mawile,Spheal,Mega Mawile
16501,Kingdra,Mienshao,Mienshao
16502,Jumpluff,Arcanine,Jumpluff
16503,Throh,Fennekin,Fennekin
16504,Swanna,Seviper,Swanna
16505,Ekans,Tauros,Tauros
16506,Nuzleaf,Spinda,Spinda
16507,Delphox,Slakoth,Delphox
16508,Aurorus,Espeon,Espeon
16509,Breloom,Chatot,Chatot
16510,Watchog,Meganium,Meganium
16511,Carracosta,Dragonair,Dragonair
16512,Ferroseed,Floatzel,Floatzel
16513,Gible,Riolu,Riolu
16514,Magmar,Slugma,Magmar
16515,Poliwhirl,Jolteon,Jolteon
16516,Vaporeon,Sunkern,Vaporeon
16517,Natu,Flygon,Flygon
16518,Toxicroak,Talonflame,Talonflame
16519,Doduo,Finneon,Doduo
16520,Musharna,Keldeo Resolute Form,Keldeo Resolute Form
16521,Magmar,Psyduck,Magmar
16522,Squirtle,Articuno,Articuno
16523,Butterfree,Bronzor,Butterfree
16524,Paras,Muk,Muk
16525,Snivy,Caterpie,Snivy
16526,Cacnea,Joltik,Joltik
16527,Panpour,Lapras,Panpour
16528,Marill,Mega Mewtwo X,Mega Mewtwo X
16529,Yamask,Mega Altaria,Mega Altaria
16530,Simisage,Heatmor,Simisage
16531,Skrelp,Tentacruel,Tentacruel
16532,Furfrou,Vanillite,Furfrou
16533,Cherubi,Heracross,Heracross
16534,Flygon,Spoink,Flygon
16535,Joltik,Weedle,Joltik
16536,Shieldon,Garchomp,Garchomp
16537,Kecleon,Hoppip,Hoppip
16538,Flabébé,Sewaddle,Sewaddle
16539,Dragalge,Silcoon,Dragalge
16540,Nosepass,Mega Mewtwo Y,Mega Mewtwo Y
16541,Thundurus Incarnate Form,Volbeat,Thundurus Incarnate Form
16542,Sawsbuck,Regirock,Sawsbuck
16543,Mega Diancie,Magnezone,Mega Diancie
16544,Cubone,Keldeo Resolute Form,Keldeo Resolute Form
16545,Spheal,Cryogonal,Cryogonal
16546,Wooper,Illumise,Illumise
16547,Ampharos,Beldum,Ampharos
16548,Bunnelby,Solrock,Solrock
16549,Hoopa Unbound,Lucario,Lucario
16550,Garbodor,Shiftry,Shiftry
16551,Chimecho,Vibrava,Vibrava
