,First_pokemon,Second_pokemon,Winner,win_class
21717,Slaking,Togepi,Slaking,Special
21718,Ponyta,Mega Lucario,Mega Lucario,Physical
21719,Mega Altaria,Pawniard,Mega Altaria,Special
21720,Armaldo,Falinks,Armaldo,Physical
21721,Cinccino,Sandshrew,Cinccino,Physical
21722,Cyndaquil,Lickitung,Lickitung,Physical
21723,Duraludon,Heatran,Heatran,Physical
21724,Starmie,Bouffalant,Bouffalant,Physical
21725,Houndour,Magmortar,Magmortar,Physical
21726,Tirtouga,Sliggoo,Tirtouga,Special
21727,Simipour,Honchkrow,Simipour,Special
21728,Diggersby,Lugia,Lugia,Physical
21729,Drizzile,Roserade,Roserade,Special
21730,Politoed,Oddish,Politoed,Physical
21731,Piloswine,Wartortle,Wartortle,Physical
21732,Malamar,Wynaut,Malamar,Physical
21733,Bergmite,Rapidash,Rapidash,Physical
21734,Stoutland,Simisage,Stoutland,Physical
21735,Mega Pinsir,Mawile,Mega Pinsir,Physical
21736,Jumpluff,Alcremie,Jumpluff,Physical
21737,Fraxure,Deino,Deino,Physical
21738,Herdier,Infernape,Infernape,Physical
21739,Mega Gallade,Kabutops,Kabutops,Special
21740,Grapploct,Luvdisc,Grapploct,Special
21741,Chespin,Drapion,Drapion,Physical
21742,Ponyta,Magnezone,Ponyta,Physical
21743,Treecko,Zekrom,Treecko,Physical
21744,Furfrou,Bunnelby,Furfrou,Physical
21745,Lapras,Snorunt,Lapras,Special
21746,Doduo,Chewtle,Chewtle,Physical
21747,Mightyena,Scolipede,Scolipede,Physical
21748,Gloom,Mega Scizor,Mega Scizor,Physical
21749,Pincurchin,Lurantis,Lurantis,Physical
21750,Galvantula,Charjabug,Charjabug,Special
21751,Seedot,Venipede,Venipede,Physical
21752,Tsareena,Braixen,Braixen,Physical
21753,Altaria,Bastiodon,Altaria,Physical
21754,Fan Rotom,Fomantis,Fomantis,Special
21755,Swellow,Timburr,Swellow,Physical
21756,Swoobat,Cubchoo,Swoobat,Physical
21757,Lilligant,Piloswine,Piloswine,Physical
21758,Arctozolt,Mismagius,Arctozolt,Physical
21759,Beldum,Gorebyss,Gorebyss,Special
21760,Muk,Blastoise,Blastoise,Special
21761,Slugma,Munchlax,Munchlax,Physical
21762,Walrein,Yanmega,Yanmega,Physical
21763,Lanturn,Raichu,Raichu,Physical
21764,Mega Charizard Y,Roggenrola,Mega Charizard Y,Physical
21765,Throh,Phione,Throh,Physical
21766,Trubbish,Perrserker,Perrserker,Physical
21767,Sandygast,Fomantis,Sandygast,Physical
21768,Eevee,Snorunt,Snorunt,Physical
21769,Salazzle,Sawk,Salazzle,Physical
21770,Vivillon,Duosion,Vivillon,Physical
21771,Glaceon,Chansey,Chansey,Physical
21772,Pignite,Mega Garchomp,Mega Garchomp,Special
21773,Noctowl,Pheromosa,Noctowl,Physical
21774,Weedle,Palossand,Palossand,Special
21775,Munna,Whiscash,Whiscash,Special
21776,Monferno,Arceus,Arceus,Special
21777,Hatterene,Lugia,Lugia,Physical
21778,Mega Ampharos,Xerneas,Xerneas,Special
21779,Necrozma,Litten,Necrozma,Special
21780,Blaziken,Granbull,Blaziken,Physical
21781,Honchkrow,Ribombee,Honchkrow,Special
21782,Qwilfish,Frogadier,Frogadier,Special
21783,Tentacool,Aurorus,Aurorus,Physical
21784,Vibrava,Delibird,Vibrava,Physical
21785,Seedot,Sunflora,Sunflora,Physical
21786,Camerupt,Bellsprout,Camerupt,Physical
21787,Eldegoss,Grapploct,Eldegoss,Physical
21788,Venomoth,Passimian,Passimian,Special
21789,Tentacool,Spiritomb,Spiritomb,Special
21790,Mega Venusaur,Igglybuff,Mega Venusaur,Physical
21791,Purrloin,Ponyta,Ponyta,Physical
21792,Morelull,Yanmega,Morelull,Special
21793,Roserade,Lileep,Roserade,Physical
21794,Mega Lucario,Xatu,Mega Lucario,Physical
21795,Crabrawler,Clobbopus,Crabrawler,Physical
21796,Larvitar,Mantyke,Mantyke,Physical
21797,Bellsprout,Salazzle,Salazzle,Physical
21798,Combee,Vanillish,Combee,Special
21799,Blitzle,Falinks,Falinks,Physical
21800,Murkrow,Ponyta,Ponyta,Physical
21801,Vanillite,Anorith,Anorith,Physical
21802,Eldegoss,Nosepass,Eldegoss,Special
21803,Teddiursa,Nihilego,Nihilego,Physical
21804,Gyarados,Regieleki,Regieleki,Physical
21805,Seel,Natu,Seel,Special
21806,Pachirisu,Obstagoon,Obstagoon,Special
21807,Sigilyph,Barboach,Barboach,Physical
21808,Yamper,Krabby,Krabby,Physical
21809,Tapu Fini,Guzzlord,Guzzlord,Physical
21810,Alolan Sandshrew,Clawitzer,Clawitzer,Physical
21811,Mega Mawile,Zekrom,Zekrom,Physical
21812,Palpitoad,Ariados,Palpitoad,Physical
21813,Staryu,Quilladin,Quilladin,Physical
21814,Wingull,Drowzee,Drowzee,Physical
21815,Axew,Electabuzz,Axew,Physical
21816,Octillery,Gossifleur,Octillery,Physical
21817,Manaphy,Victini,Manaphy,Physical
21818,Cranidos,Pheromosa,Pheromosa,Physical
21819,Manectric,Fearow,Fearow,Special
21820,Mega Glalie,Eelektross,Mega Glalie,Physical
21821,Mega Diancie,Poliwag,Mega Diancie,Special
21822,Tyrantrum,Centiskorch,Centiskorch,Special
21823,Ribombee,Zarude,Zarude,Physical
21824,Mamoswine,Florges,Mamoswine,Physical
21825,Trevenant,Duskull,Trevenant,Physical
21826,Rhydon,Drednaw,Rhydon,Physical
21827,Volcanion,Solgaleo,Solgaleo,Physical
21828,Klang,Claydol,Klang,Special
21829,Shuppet,Larvitar,Larvitar,Physical
21830,Skuntank,Bewear,Bewear,Physical
21831,Trubbish,Alolan Graveler,Alolan Graveler,Physical
21832,Ninjask,Whimsicott,Ninjask,Physical
21833,Cinccino,Avalugg,Cinccino,Physical
21834,Piplup,Anorith,Anorith,Physical
21835,Armaldo,Yamask,Armaldo,Physical
21836,Kabutops,Sandile,Kabutops,Physical
21837,Sunflora,Celesteela,Celesteela,Special
21838,Kubfu,Joltik,Kubfu,Physical
21839,Drowzee,Scatterbug,Drowzee,Special
21840,Fearow,Doduo,Fearow,Special
21841,Xerneas,Nincada,Xerneas,Physical
21842,Qwilfish,Lotad,Lotad,Special
21843,Shiinotic,Elekid,Elekid,Physical
21844,Hydreigon,Cosmoem,Hydreigon,Physical
21845,Tyrantrum,Mega Lucario,Mega Lucario,Physical
21846,Kangaskhan,Marowak,Kangaskhan,Physical
21847,Litleo,Panpour,Litleo,Special
21848,Glastrier,Bonsly,Glastrier,Physical
21849,Mareanie,Lickitung,Lickitung,Physical
21850,Alcremie,Mow Rotom,Mow Rotom,Special
21851,Scrafty,Espurr,Scrafty,Physical
21852,Braixen,Dusclops,Dusclops,Special
21853,Hypno,Cubchoo,Hypno,Physical
21854,Samurott,Drowzee,Samurott,Special
21855,Dragonite,Flabébé,Dragonite,Physical
21856,Rotom,Drakloak,Drakloak,Physical
21857,Greninja,Manectric,Manectric,Physical
21858,Trubbish,Doduo,Trubbish,Physical
21859,Sigilyph,Skiploom,Sigilyph,Physical
21860,Gabite,Boltund,Gabite,Physical
21861,Arcanine,Duraludon,Duraludon,Physical
21862,Guzzlord,Croagunk,Guzzlord,Physical
21863,Gible,Victreebel,Victreebel,Physical
21864,Lairon,Arctovish,Arctovish,Special
21865,Rookidee,Applin,Applin,Physical
21866,Hypno,Hypno,Hypno,Physical
21867,Mega Gardevoir,Whismur,Whismur,Physical
21868,Rapidash,Silicobra,Rapidash,Physical
21869,Hydreigon,Sandygast,Hydreigon,Physical
21870,Cubchoo,Regidrago,Regidrago,Special
21871,Tapu Bulu,Absol,Tapu Bulu,Physical
21872,Sewaddle,Ducklett,Sewaddle,Special
21873,Dragalge,Kakuna,Dragalge,Physical
21874,Riolu,Cacturne,Cacturne,Physical
21875,Rhyperior,Elgyem,Rhyperior,Physical
21876,Victini,Electrode,Victini,Physical
21877,Raticate,Rolycoly,Rolycoly,Physical
21878,Mienfoo,Dugtrio,Mienfoo,Physical
21879,Druddigon,Dragalge,Dragalge,Physical
21880,Regigigas,Forretress,Regigigas,Physical
21881,Trubbish,Bellsprout,Trubbish,Special
21882,Volcarona,Ponyta,Ponyta,Physical
21883,Palossand,Mega Venusaur,Palossand,Special
21884,Dottler,Hitmonlee,Hitmonlee,Physical
21885,Ferroseed,Duskull,Ferroseed,Physical
21886,Guzzlord,Phanpy,Guzzlord,Physical
21887,Vaporeon,Bidoof,Vaporeon,Special
21888,Cottonee,Hariyama,Hariyama,Physical
21889,Grumpig,Drifblim,Drifblim,Physical
21890,Black Kyurem,Kabutops,Kabutops,Physical
21891,Mega Banette,Granbull,Mega Banette,Physical
21892,Alolan Sandslash,Raikou,Raikou,Physical
21893,Mega Glalie,Chespin,Mega Glalie,Physical
21894,Jirachi,Dusknoir,Dusknoir,Physical
21895,Gloom,Arcanine,Arcanine,Special
21896,Suicune,Fletchling,Suicune,Physical
21897,Zorua,Cursola,Cursola,Special
21898,Chewtle,Snom,Chewtle,Physical
21899,Gorebyss,Barboach,Gorebyss,Special
21900,Snover,Honchkrow,Snover,Physical
21901,Thievul,Morgrem,Thievul,Physical
21902,Poochyena,Hoothoot,Poochyena,Physical
21903,Lumineon,Suicune,Suicune,Physical
21904,Kubfu,Golisopod,Kubfu,Physical
21905,Trapinch,Chansey,Chansey,Physical
21906,Morgrem,Xatu,Morgrem,Physical
21907,Mega Heracross,Luxray,Mega Heracross,Physical
21908,Lickitung,Mega Mewtwo X,Mega Mewtwo X,Physical
21909,Kricketune,Skuntank,Skuntank,Physical
21910,Hydreigon,Paras,Paras,Physical
21911,Chikorita,Charmander,Charmander,Physical
21912,Delphox,Meltan,Delphox,Physical
21913,Golem,Mega Venusaur,Mega Venusaur,Physical
21914,Virizion,Feraligatr,Feraligatr,Physical
21915,Appletun,Bounsweet,Appletun,Special
21916,Staravia,Garbodor,Garbodor,Special
21917,Rampardos,Archen,Rampardos,Physical
21918,Dewott,Pachirisu,Pachirisu,Physical
21919,Seedot,Scatterbug,Scatterbug,Physical
21920,Skwovet,Charjabug,Charjabug,Physical
21921,Rattata,Machop,Machop,Special
21922,Mega Absol,Alolan Meowth,Mega Absol,Physical
21923,Mew,Pyroar,Pyroar,Special
21924,Spheal,Seviper,Seviper,Physical
21925,Ursaring,Furret,Furret,Physical
21926,Thievul,Seaking,Seaking,Physical
21927,Grimer,Cosmoem,Grimer,Physical
21928,Stufful,Wobbuffet,Stufful,Physical
21929,Minccino,Mega Gengar,Mega Gengar,Physical
21930,Floatzel,Wailmer,Wailmer,Special
21931,Tyrogue,Fletchling,Fletchling,Physical
21932,Crabominable,Hippowdon,Hippowdon,Physical
21933,Eternatus Eternamax,Mega Sableye,Eternatus Eternamax,Special
21934,Crabrawler,Mega Absol,Mega Absol,Physical
21935,Remoraid,Mega Blastoise,Mega Blastoise,Physical
21936,Latias,Quagsire,Latias,Physical
21937,Vanillish,Honchkrow,Honchkrow,Special
21938,Heracross,Hoopa Unbound,Hoopa Unbound,Physical
21939,Zeraora,Heat Rotom,Zeraora,Special
21940,Blaziken,Wimpod,Blaziken,Physical
21941,Espeon,Heatmor,Heatmor,Physical
21942,Meditite,Silvally,Silvally,Physical
21943,Stonjourner,Chewtle,Stonjourner,Physical
21944,Zebstrika,Wynaut,Zebstrika,Special
21945,Wailmer,Pupitar,Pupitar,Physical
21946,Piloswine,Slowking,Slowking,Physical
21947,Hitmonlee,Alolan Grimer,Hitmonlee,Physical
21948,Decidueye,Tapu Bulu,Tapu Bulu,Physical
21949,Roggenrola,Dragalge,Dragalge,Special
21950,Naganadel,Dugtrio,Naganadel,Physical
21951,Snorunt,Klink,Klink,Special
21952,Swoobat,Eternatus Eternamax,Eternatus Eternamax,Physical
21953,Haunter,Blacephalon,Blacephalon,Special
21954,Mega Lucario,Primeape,Mega Lucario,Physical
21955,Drifloon,Wooloo,Drifloon,Physical
21956,Volbeat,Cinccino,Volbeat,Physical
21957,Remoraid,Mega Gardevoir,Mega Gardevoir,Special
21958,Sharpedo,Wurmple,Sharpedo,Physical
21959,Watchog,Musharna,Musharna,Special
21960,Swalot,Avalugg,Avalugg,Physical
21961,Manectric,Croagunk,Manectric,Physical
21962,Goldeen,Jynx,Jynx,Physical
21963,Jumpluff,Metagross,Metagross,Physical
21964,Octillery,Zeraora,Zeraora,Physical
21965,Duraludon,Luxio,Duraludon,Physical
21966,Swadloon,Spectrier,Spectrier,Physical
21967,Tentacool,Drapion,Drapion,Physical
21968,Heliolisk,Masquerain,Masquerain,Special
21969,Palossand,Rapidash,Rapidash,Physical
21970,Hoopa Unbound,Greedent,Greedent,Special
21971,Trumbeak,Genesect,Trumbeak,Physical
21972,Carvanha,Tyrogue,Carvanha,Physical
21973,Treecko,Drifblim,Drifblim,Special
21974,Larvesta,Wingull,Larvesta,Physical
21975,Electrike,Unfezant,Electrike,Physical
21976,Dunsparce,Machoke,Dunsparce,Special
21977,Braixen,Meganium,Braixen,Physical
21978,Trumbeak,Mantine,Trumbeak,Physical
21979,Tangela,Ribombee,Ribombee,Special
21980,Cosmoem,Geodude,Geodude,Physical
21981,Beartic,Tyranitar,Tyranitar,Physical
21982,Bulbasaur,Snorlax,Snorlax,Physical
21983,Yamper,Croagunk,Yamper,Physical
21984,Carvanha,Mega Latias,Mega Latias,Special
21985,Vanilluxe,Braviary,Braviary,Physical
21986,Archen,Dartrix,Archen,Physical
21987,Cursola,Nosepass,Nosepass,Special
21988,Mega Charizard X,Empoleon,Mega Charizard X,Physical
21989,Lilligant,Clamperl,Lilligant,Special
21990,Poliwrath,Murkrow,Poliwrath,Special
21991,Omastar,Espeon,Espeon,Special
21992,Hitmonchan,Empoleon,Empoleon,Special
21993,Yamask,Wartortle,Wartortle,Physical
21994,Sealeo,Ralts,Sealeo,Special
21995,Monferno,Rockruff,Monferno,Physical
21996,Munna,Castform,Castform,Special
21997,Herdier,Rookidee,Herdier,Physical
21998,Bibarel,Solgaleo,Solgaleo,Special
21999,Mega Metagross,Cofagrigus,Mega Metagross,Physical
22000,Dartrix,Klefki,Klefki,Special
22001,Liepard,Drowzee,Liepard,Special
22002,Nincada,Butterfree,Butterfree,Physical
22003,Trubbish,Scrafty,Scrafty,Physical
22004,Magearna,Girafarig,Magearna,Special
22005,Scizor,Charjabug,Scizor,Special
22006,Teddiursa,Haxorus,Haxorus,Physical
22007,Archeops,Ledyba,Archeops,Physical
22008,Walrein,Vivillon,Walrein,Physical
22009,Gulpin,Absol,Absol,Special
22010,Dragalge,Remoraid,Dragalge,Physical
22011,Furret,Budew,Furret,Physical
22012,Medicham,Trevenant,Medicham,Physical
22013,Pidgey,Pidgeotto,Pidgey,Physical
22014,Cascoon,Cacturne,Cacturne,Physical
22015,Xatu,Shuppet,Xatu,Special
22016,Hawlucha,Mega Glalie,Mega Glalie,Special
22017,Reshiram,Doublade,Reshiram,Special
22018,Meganium,Starly,Meganium,Physical
22019,Pawniard,Slugma,Slugma,Special
22020,Dusknoir,Munna,Dusknoir,Physical
22021,Mega Manectric,Copperajah,Copperajah,Physical
22022,Duskull,Budew,Budew,Special
22023,Minccino,Kangaskhan,Kangaskhan,Physical
22024,Dragapult,Eternatus Eternamax,Eternatus Eternamax,Special
22025,Beautifly,Golem,Golem,Physical
22026,Togedemaru,Chinchou,Togedemaru,Special
22027,Meowstic Male,Kingdra,Kingdra,Physical
22028,Thievul,Absol,Absol,Special
22029,Meowstic Male,Reuniclus,Reuniclus,Special
22030,Cosmoem,Munchlax,Munchlax,Special
22031,Leavanny,Shroomish,Leavanny,Physical
22032,Dracovish,Squirtle,Dracovish,Special
22033,Shellos,Jellicent,Shellos,Physical
22034,Kecleon,Garchomp,Garchomp,Special
22035,Monferno,Umbreon,Umbreon,Special
22036,Roggenrola,Venonat,Roggenrola,Physical
22037,Phantump,Buzzwole,Buzzwole,Physical
22038,Rapidash,Chinchou,Rapidash,Physical
22039,Flaaffy,Clobbopus,Flaaffy,Physical
22040,Exploud,Liepard,Exploud,Physical
22041,Mightyena,Scatterbug,Mightyena,Physical
22042,Golisopod,Tropius,Golisopod,Special
22043,Gothita,Araquanid,Araquanid,Special
22044,Exeggutor,Magneton,Magneton,Physical
22045,Tapu Bulu,Dustox,Dustox,Physical
22046,Yamask,Sylveon,Sylveon,Special
22047,Tranquill,Wailord,Tranquill,Physical
22048,Haunter,Growlithe,Haunter,Physical
22049,Umbreon,Slugma,Slugma,Special
22050,Crobat,Florges,Florges,Physical
22051,Scrafty,Wailmer,Scrafty,Special
22052,Necrozma,Salandit,Necrozma,Physical
22053,Absol,Chatot,Chatot,Physical
22054,Sunflora,Kirlia,Sunflora,Special
22055,Pichu,Crawdaunt,Crawdaunt,Physical
22056,Piloswine,Wailord,Piloswine,Physical
22057,Lurantis,Pikachu,Lurantis,Physical
22058,Mega Gengar,Malamar,Malamar,Physical
22059,Hitmontop,Rhydon,Rhydon,Special
22060,Victini,Gurdurr,Gurdurr,Physical
22061,Machoke,Makuhita,Machoke,Physical
22062,Mega Sharpedo,Donphan,Mega Sharpedo,Special
22063,Roserade,Forretress,Forretress,Special
22064,Mega Sableye,Mienfoo,Mienfoo,Special
22065,Ninjask,Inteleon,Inteleon,Special
22066,Crobat,Cofagrigus,Crobat,Physical
22067,Incineroar,Marill,Incineroar,Physical
22068,Serperior,Grapploct,Grapploct,Physical
22069,Pansage,Wimpod,Pansage,Physical
22070,Timburr,Mega Metagross,Mega Metagross,Physical
22071,Gliscor,Inkay,Gliscor,Physical
22072,Gurdurr,Purrloin,Gurdurr,Physical
22073,Arbok,Glalie,Arbok,Special
22074,Rampardos,Flareon,Rampardos,Physical
22075,Breloom,Glameow,Breloom,Special
22076,Greninja,Golduck,Golduck,Physical
22077,Kangaskhan,Bidoof,Kangaskhan,Physical
22078,Numel,Dodrio,Dodrio,Physical
22079,Duskull,Magikarp,Duskull,Special
22080,Wash Rotom,Luxray,Luxray,Special
22081,Silicobra,Yamask,Yamask,Special
22082,Crustle,Bayleef,Crustle,Physical
22083,Frost Rotom,Bayleef,Bayleef,Special
22084,Hypno,Heatran,Hypno,Physical
22085,Roselia,Beautifly,Roselia,Special
22086,Zebstrika,Meowstic Male,Zebstrika,Physical
22087,Tympole,Thievul,Thievul,Physical
22088,Chimchar,Slurpuff,Chimchar,Physical
22089,Spinda,Electrode,Electrode,Special
22090,Makuhita,Kyogre,Kyogre,Physical
22091,Primal Kyogre,Pikipek,Primal Kyogre,Physical
22092,Eternatus,Applin,Eternatus,Physical
22093,Sinistea,Primal Kyogre,Primal Kyogre,Physical
22094,Victreebel,Dreepy,Victreebel,Physical
22095,White Kyurem,Hattrem,White Kyurem,Physical
22096,Drapion,Rampardos,Drapion,Physical
22097,Lillipup,Poochyena,Poochyena,Physical
22098,Sandygast,Dialga,Dialga,Physical
22099,Seismitoad,Numel,Seismitoad,Physical
22100,Cradily,Slugma,Cradily,Physical
22101,Rapidash,Absol,Absol,Physical
22102,Alolan Ninetales,Mega Kangaskhan,Mega Kangaskhan,Physical
22103,Diancie,Unfezant,Diancie,Physical
22104,Duraludon,Nickit,Duraludon,Physical
22105,Ralts,Kricketune,Kricketune,Physical
22106,Mega Medicham,Stantler,Stantler,Special
22107,Salandit,Thievul,Thievul,Special
22108,Mega Diancie,Nihilego,Mega Diancie,Physical
22109,Kubfu,Braixen,Braixen,Special
22110,Arcanine,Cubone,Arcanine,Physical
22111,Cosmoem,Chimecho,Chimecho,Physical
22112,Skwovet,Arrokuda,Arrokuda,Physical
22113,Togetic,Pancham,Togetic,Special
22114,Arctozolt,Carkol,Arctozolt,Special
22115,Conkeldurr,Archen,Conkeldurr,Physical
22116,Mega Tyranitar,Golisopod,Mega Tyranitar,Physical
22117,Mega Kangaskhan,Cresselia,Cresselia,Physical
22118,Staraptor,Regice,Regice,Physical
22119,Morelull,Kingdra,Kingdra,Physical
22120,Loudred,Mega Blaziken,Mega Blaziken,Physical
22121,Salamence,Gulpin,Salamence,Physical
22122,Purrloin,Whismur,Whismur,Special
22123,Skrelp,Cranidos,Cranidos,Physical
22124,Tangrowth,Polteageist,Tangrowth,Special
22125,Salamence,Emboar,Salamence,Physical
22126,Greedent,Genesect,Genesect,Special
22127,Alolan Sandshrew,Crustle,Crustle,Physical
22128,Meowstic Female,Latios,Latios,Special
22129,Boldore,Drilbur,Boldore,Physical
22130,Abomasnow,Pidgeot,Abomasnow,Special
22131,Arceus,Solosis,Arceus,Physical
22132,Alolan Persian,Corviknight,Alolan Persian,Physical
22133,Karrablast,Tentacool,Karrablast,Physical
22134,Carkol,Shelmet,Carkol,Physical
22135,Jolteon,Cosmog,Jolteon,Special
22136,Lickilicky,Mew,Lickilicky,Special
22137,Wailord,Hoppip,Wailord,Physical
22138,Toxel,Mega Latios,Mega Latios,Special
22139,Golem,Regidrago,Regidrago,Physical
22140,Crawdaunt,Staryu,Crawdaunt,Special
22141,Gossifleur,Cloyster,Gossifleur,Physical
22142,Lunatone,Fan Rotom,Fan Rotom,Physical
22143,Heatmor,Hoothoot,Heatmor,Special
22144,Zekrom,Dracovish,Zekrom,Physical
22145,Aurorus,Mega Charizard X,Aurorus,Physical
22146,Heracross,Misdreavus,Heracross,Physical
22147,Persian,Sentret,Persian,Physical
22148,Swalot,Electabuzz,Swalot,Physical
22149,Chingling,Banette,Banette,Special
22150,Mega Audino,Klang,Klang,Physical
22151,Porygon,Tangela,Tangela,Physical
22152,Growlithe,Groudon,Groudon,Special
22153,Golduck,Miltank,Miltank,Physical
22154,Kabutops,Magneton,Kabutops,Physical
22155,Luvdisc,Mega Rayquaza,Mega Rayquaza,Physical
22156,Swinub,Lickilicky,Lickilicky,Physical
22157,Garbodor,Sandaconda,Sandaconda,Physical
22158,Umbreon,Incineroar,Incineroar,Physical
22159,Mudsdale,Golett,Golett,Physical
22160,Spheal,Panpour,Panpour,Physical
22161,Larvitar,Palkia,Palkia,Physical
22162,Croconaw,Snivy,Snivy,Special
22163,Mantyke,Machoke,Machoke,Physical
22164,Nidoking,Drednaw,Nidoking,Physical
22165,Mega Blaziken,Mega Mewtwo X,Mega Mewtwo X,Physical
22166,Gastrodon,Dratini,Dratini,Physical
22167,Wailord,Ultra Necrozma,Wailord,Physical
22168,Silvally,Deino,Silvally,Special
22169,Voltorb,Servine,Servine,Special
22170,Servine,Palpitoad,Palpitoad,Physical
22171,Drifblim,Delibird,Drifblim,Physical
22172,Blastoise,Kyurem,Kyurem,Special
22173,Hippopotas,Sandslash,Sandslash,Physical
22174,Tirtouga,Rayquaza,Rayquaza,Special
22175,Pancham,Qwilfish,Qwilfish,Physical
22176,Mareep,Clamperl,Clamperl,Physical
22177,Nihilego,Fomantis,Nihilego,Physical
22178,Kadabra,Regieleki,Regieleki,Special
22179,Meowth,Abra,Meowth,Special
22180,Cobalion,Heracross,Cobalion,Special
22181,Koffing,Cubchoo,Koffing,Physical
22182,Chikorita,Alolan Meowth,Alolan Meowth,Special
22183,Archen,Yanmega,Yanmega,Special
22184,Swanna,Black Kyurem,Swanna,Physical
22185,Silcoon,Snubbull,Silcoon,Physical
22186,Sandshrew,Zweilous,Zweilous,Special
22187,Swanna,Mega Gardevoir,Swanna,Special
22188,Lapras,Chimecho,Lapras,Physical
22189,Hippopotas,Castform,Castform,Physical
22190,Swoobat,Seedot,Swoobat,Special
22191,Meowstic Male,Dustox,Dustox,Special
22192,Cascoon,Servine,Servine,Physical
22193,Yveltal,Seaking,Yveltal,Physical
22194,Noctowl,Xatu,Xatu,Physical
22195,Suicune,Mothim,Mothim,Special
22196,Skorupi,Mow Rotom,Mow Rotom,Special
22197,Raikou,Chandelure,Raikou,Special
22198,Corvisquire,Doduo,Corvisquire,Physical
22199,Kricketot,Gulpin,Gulpin,Special
22200,Pangoro,Hatenna,Pangoro,Physical
22201,Frost Rotom,Forretress,Frost Rotom,Physical
22202,Breloom,Venipede,Breloom,Physical
22203,Coalossal,Sealeo,Sealeo,Special
22204,Bellossom,Dedenne,Bellossom,Physical
22205,Mothim,Perrserker,Perrserker,Special
22206,Inkay,Larvitar,Larvitar,Special
22207,Venusaur,Deino,Venusaur,Special
22208,Foongus,Shuckle,Shuckle,Special
22209,Manectric,Togekiss,Manectric,Special
22210,Chandelure,Starly,Chandelure,Physical
22211,Absol,Meltan,Absol,Special
22212,Slugma,Pignite,Pignite,Special
22213,Duraludon,Swirlix,Duraludon,Physical
22214,Ariados,Gloom,Ariados,Physical
22215,Ninetales,Ducklett,Ninetales,Physical
22216,Drifblim,Ambipom,Ambipom,Physical
22217,Marshtomp,Shiftry,Shiftry,Physical
22218,Mareep,Aipom,Aipom,Special
22219,Alcremie,Chansey,Alcremie,Physical
22220,Druddigon,Lumineon,Druddigon,Physical
22221,Lunala,Whismur,Whismur,Physical
22222,Meditite,Florges,Meditite,Physical
22223,Stonjourner,Bewear,Bewear,Physical
22224,Cobalion,Squirtle,Cobalion,Physical
22225,Lickitung,Chatot,Lickitung,Physical
22226,Wailmer,Krabby,Wailmer,Special
22227,Terrakion,Scatterbug,Terrakion,Physical
22228,Spoink,Duraludon,Duraludon,Physical
22229,Zebstrika,Quilava,Zebstrika,Special
22230,Nuzleaf,Shiinotic,Nuzleaf,Physical
22231,Chespin,Magikarp,Chespin,Special
22232,Dragonite,Roggenrola,Dragonite,Physical
22233,Corvisquire,Pincurchin,Corvisquire,Physical
22234,Kabuto,Skarmory,Skarmory,Physical
22235,Lotad,Slurpuff,Lotad,Physical
22236,Celebi,Roggenrola,Celebi,Physical
22237,Vigoroth,Gothorita,Vigoroth,Physical
22238,Typhlosion,Mega Glalie,Typhlosion,Physical
22239,Amoonguss,Sableye,Amoonguss,Physical
22240,Ducklett,Ivysaur,Ivysaur,Physical
22241,Aipom,Claydol,Claydol,Special
22242,Excadrill,Hariyama,Excadrill,Physical
22243,Lapras,Yanmega,Lapras,Special
22244,Zigzagoon,Wobbuffet,Zigzagoon,Physical
22245,Ninetales,Remoraid,Ninetales,Physical
22246,Relicanth,Hatterene,Hatterene,Physical
22247,Mantyke,Archen,Archen,Physical
22248,Makuhita,Poliwag,Poliwag,Special
22249,Dartrix,Roselia,Roselia,Special
22250,Boltund,Kubfu,Kubfu,Physical
22251,Perrserker,Ferroseed,Perrserker,Physical
22252,Mew,Chatot,Mew,Physical
22253,Budew,Togekiss,Togekiss,Physical
22254,Grookey,Umbreon,Umbreon,Physical
22255,Whirlipede,Joltik,Joltik,Physical
22256,Chimchar,Gothorita,Gothorita,Physical
22257,Bewear,Minun,Bewear,Physical
22258,Drizzile,Barbaracle,Drizzile,Physical
22259,Furfrou,Houndour,Houndour,Special
22260,Scizor,Heracross,Heracross,Physical
22261,Morgrem,Gumshoos,Morgrem,Physical
22262,Arbok,Rockruff,Arbok,Physical
22263,Necrozma,Mega Medicham,Mega Medicham,Physical
22264,Breloom,Carbink,Carbink,Physical
22265,Mareep,Aron,Aron,Physical
22266,Comfey,Delibird,Comfey,Physical
22267,Mega Latias,Munna,Mega Latias,Special
22268,Grapploct,Tangrowth,Tangrowth,Physical
22269,Wynaut,Mareep,Mareep,Physical
22270,Trapinch,Cobalion,Cobalion,Physical
22271,Duskull,Vanillish,Duskull,Special
22272,Fletchinder,Torterra,Fletchinder,Physical
22273,Fletchinder,Solosis,Fletchinder,Physical
22274,Delibird,Popplio,Popplio,Physical
22275,Grookey,Kadabra,Grookey,Physical
22276,Regigigas,Bonsly,Regigigas,Physical
22277,Staraptor,Alolan Sandslash,Alolan Sandslash,Physical
22278,Slowpoke,Hariyama,Hariyama,Physical
22279,Beautifly,Phanpy,Phanpy,Physical
22280,Barraskewda,Frosmoth,Frosmoth,Special
22281,Dodrio,Scolipede,Dodrio,Physical
22282,Petilil,Hippowdon,Hippowdon,Physical
22283,Mega Houndoom,Xurkitree,Mega Houndoom,Special
